轮次,合同设计,发布者效用
94,"[40, 38, 38, 37, 37, 32.379, 31.207, 31.207, 30.525, 30.525]",424.809
95,"[41, 38, 38, 37, 37, 32.965, 31.207, 31.207, 30.525, 30.525]",424.888
96,"[42, 38, 38, 37, 37, 33.551, 31.207, 31.207, 30.525, 30.525]",424.951
97,"[43, 38, 38, 37, 37, 34.137, 31.207, 31.207, 30.525, 30.525]",424.999
98,"[44, 38, 38, 37, 37, 34.723, 31.207, 31.207, 30.525, 30.525]",425.033
99,"[45, 38, 38, 37, 37, 35.309, 31.207, 31.207, 30.525, 30.525]",425.055
100,"[46, 38, 38, 37, 37, 35.895, 31.207, 31.207, 30.525, 30.525]",425.066
101,"[47, 38, 38, 37, 37, 36.481, 31.207, 31.207, 30.525, 30.525]",425.066
102,"[48, 38, 38, 37, 37, 37.067, 31.207, 31.207, 30.525, 30.525]",425.056
103,"[49, 38, 38, 37, 37, 37.653, 31.207, 31.207, 30.525, 30.525]",425.037
104,"[39, 39, 38, 37, 37, 31.835, 31.835, 31.207, 30.525, 30.525]",424.812
105,"[40, 39, 38, 37, 37, 32.421, 31.835, 31.207, 30.525, 30.525]",424.908
106,"[41, 39, 38, 37, 37, 33.007, 31.835, 31.207, 30.525, 30.525]",424.987
107,"[42, 39, 38, 37, 37, 33.593, 31.835, 31.207, 30.525, 30.525]",425.05
108,"[43, 39, 38, 37, 37, 34.179, 31.835, 31.207, 30.525, 30.525]",425.098
109,"[44, 39, 38, 37, 37, 34.765, 31.835, 31.207, 30.525, 30.525]",425.132
110,"[45, 39, 38, 37, 37, 35.351, 31.835, 31.207, 30.525, 30.525]",425.154
111,"[46, 39, 38, 37, 37, 35.937, 31.835, 31.207, 30.525, 30.525]",425.165
112,"[47, 39, 38, 37, 37, 36.523, 31.835, 31.207, 30.525, 30.525]",425.165
113,"[48, 39, 38, 37, 37, 37.109, 31.835, 31.207, 30.525, 30.525]",425.155
114,"[49, 39, 38, 37, 37, 37.695, 31.835, 31.207, 30.525, 30.525]",425.136
115,"[40, 40, 38, 37, 37, 32.463, 32.463, 31.207, 30.525, 30.525]",424.988
116,"[41, 40, 38, 37, 37, 33.049, 32.463, 31.207, 30.525, 30.525]",425.067
117,"[42, 40, 38, 37, 37, 33.635, 32.463, 31.207, 30.525, 30.525]",425.13
118,"[43, 40, 38, 37, 37, 34.221, 32.463, 31.207, 30.525, 30.525]",425.178
119,"[44, 40, 38, 37, 37, 34.807, 32.463, 31.207, 30.525, 30.525]",425.212
120,"[45, 40, 38, 37, 37, 35.393, 32.463, 31.207, 30.525, 30.525]",425.234
121,"[46, 40, 38, 37, 37, 35.979, 32.463, 31.207, 30.525, 30.525]",425.245
122,"[47, 40, 38, 37, 37, 36.565, 32.463, 31.207, 30.525, 30.525]",425.245
123,"[48, 40, 38, 37, 37, 37.151, 32.463, 31.207, 30.525, 30.525]",425.235
124,"[49, 40, 38, 37, 37, 37.737, 32.463, 31.207, 30.525, 30.525]",425.216
125,"[41, 41, 38, 37, 37, 33.091, 33.091, 31.207, 30.525, 30.525]",425.129
126,"[42, 41, 38, 37, 37, 33.677, 33.091, 31.207, 30.525, 30.525]",425.192
127,"[43, 41, 38, 37, 37, 34.263, 33.091, 31.207, 30.525, 30.525]",425.24
128,"[44, 41, 38, 37, 37, 34.849, 33.091, 31.207, 30.525, 30.525]",425.275
129,"[45, 41, 38, 37, 37, 35.435, 33.091, 31.207, 30.525, 30.525]",425.296
130,"[46, 41, 38, 37, 37, 36.021, 33.091, 31.207, 30.525, 30.525]",425.307
131,"[47, 41, 38, 37, 37, 36.607, 33.091, 31.207, 30.525, 30.525]",425.307
132,"[48, 41, 38, 37, 37, 37.193, 33.091, 31.207, 30.525, 30.525]",425.297
133,"[49, 41, 38, 37, 37, 37.779, 33.091, 31.207, 30.525, 30.525]",425.279
134,"[42, 42, 38, 37, 37, 33.719, 33.719, 31.207, 30.525, 30.525]",425.238
135,"[43, 42, 38, 37, 37, 34.305, 33.719, 31.207, 30.525, 30.525]",425.286
136,"[44, 42, 38, 37, 37, 34.891, 33.719, 31.207, 30.525, 30.525]",425.32
137,"[45, 42, 38, 37, 37, 35.477, 33.719, 31.207, 30.525, 30.525]",425.342
138,"[46, 42, 38, 37, 37, 36.063, 33.719, 31.207, 30.525, 30.525]",425.353
139,"[47, 42, 38, 37, 37, 36.649, 33.719, 31.207, 30.525, 30.525]",425.353
140,"[48, 42, 38, 37, 37, 37.235, 33.719, 31.207, 30.525, 30.525]",425.343
141,"[49, 42, 38, 37, 37, 37.821, 33.719, 31.207, 30.525, 30.525]",425.324
142,"[43, 43, 38, 37, 37, 34.347, 34.347, 31.207, 30.525, 30.525]",425.317
143,"[44, 43, 38, 37, 37, 34.933, 34.347, 31.207, 30.525, 30.525]",425.352
144,"[45, 43, 38, 37, 37, 35.519, 34.347, 31.207, 30.525, 30.525]",425.373
145,"[46, 43, 38, 37, 37, 36.105, 34.347, 31.207, 30.525, 30.525]",425.384
146,"[47, 43, 38, 37, 37, 36.691, 34.347, 31.207, 30.525, 30.525]",425.384
147,"[48, 43, 38, 37, 37, 37.277, 34.347, 31.207, 30.525, 30.525]",425.374
148,"[49, 43, 38, 37, 37, 37.863, 34.347, 31.207, 30.525, 30.525]",425.356
149,"[44, 44, 38, 37, 37, 34.975, 34.975, 31.207, 30.525, 30.525]",425.369
150,"[45, 44, 38, 37, 37, 35.561, 34.975, 31.207, 30.525, 30.525]",425.391
151,"[46, 44, 38, 37, 37, 36.147, 34.975, 31.207, 30.525, 30.525]",425.401
152,"[47, 44, 38, 37, 37, 36.733, 34.975, 31.207, 30.525, 30.525]",425.401
153,"[48, 44, 38, 37, 37, 37.319, 34.975, 31.207, 30.525, 30.525]",425.392
154,"[49, 44, 38, 37, 37, 37.905, 34.975, 31.207, 30.525, 30.525]",425.373
155,"[45, 45, 38, 37, 37, 35.603, 35.603, 31.207, 30.525, 30.525]",425.396
156,"[46, 45, 38, 37, 37, 36.189, 35.603, 31.207, 30.525, 30.525]",425.406
157,"[47, 45, 38, 37, 37, 36.775, 35.603, 31.207, 30.525, 30.525]",425.406
158,"[48, 45, 38, 37, 37, 37.361, 35.603, 31.207, 30.525, 30.525]",425.397
159,"[49, 45, 38, 37, 37, 37.947, 35.603, 31.207, 30.525, 30.525]",425.378
160,"[46, 46, 38, 37, 37, 36.231, 36.231, 31.207, 30.525, 30.525]",425.4
161,"[47, 46, 38, 37, 37, 36.817, 36.231, 31.207, 30.525, 30.525]",425.4
162,"[48, 46, 38, 37, 37, 37.403, 36.231, 31.207, 30.525, 30.525]",425.39
163,"[49, 46, 38, 37, 37, 37.989, 36.231, 31.207, 30.525, 30.525]",425.372
164,"[47, 47, 38, 37, 37, 36.859, 36.859, 31.207, 30.525, 30.525]",425.383
165,"[48, 47, 38, 37, 37, 37.445, 36.859, 31.207, 30.525, 30.525]",425.373
166,"[49, 47, 38, 37, 37, 38.031, 36.859, 31.207, 30.525, 30.525]",425.355
167,"[48, 48, 38, 37, 37, 37.487, 37.487, 31.207, 30.525, 30.525]",425.347
168,"[49, 48, 38, 37, 37, 38.073, 37.487, 31.207, 30.525, 30.525]",425.328
169,"[49, 49, 38, 37, 37, 38.115, 38.115, 31.207, 30.525, 30.525]",425.293
170,"[39, 39, 39, 37, 37, 31.889, 31.889, 31.889, 30.525, 30.525]",424.887
171,"[40, 39, 39, 37, 37, 32.475, 31.889, 31.889, 30.525, 30.525]",424.984
172,"[41, 39, 39, 37, 37, 33.061, 31.889, 31.889, 30.525, 30.525]",425.063
173,"[42, 39, 39, 37, 37, 33.647, 31.889, 31.889, 30.525, 30.525]",425.125
174,"[43, 39, 39, 37, 37, 34.233, 31.889, 31.889, 30.525, 30.525]",425.173
175,"[44, 39, 39, 37, 37, 34.819, 31.889, 31.889, 30.525, 30.525]",425.208
176,"[45, 39, 39, 37, 37, 35.405, 31.889, 31.889, 30.525, 30.525]",425.229
177,"[46, 39, 39, 37, 37, 35.991, 31.889, 31.889, 30.525, 30.525]",425.24
178,"[47, 39, 39, 37, 37, 36.577, 31.889, 31.889, 30.525, 30.525]",425.24
179,"[48, 39, 39, 37, 37, 37.163, 31.889, 31.889, 30.525, 30.525]",425.23
180,"[49, 39, 39, 37, 37, 37.749, 31.889, 31.889, 30.525, 30.525]",425.212
181,"[40, 40, 39, 37, 37, 32.517, 32.517, 31.889, 30.525, 30.525]",425.063
182,"[41, 40, 39, 37, 37, 33.103, 32.517, 31.889, 30.525, 30.525]",425.142
183,"[42, 40, 39, 37, 37, 33.689, 32.517, 31.889, 30.525, 30.525]",425.205
184,"[43, 40, 39, 37, 37, 34.275, 32.517, 31.889, 30.525, 30.525]",425.253
185,"[44, 40, 39, 37, 37, 34.861, 32.517, 31.889, 30.525, 30.525]",425.287
186,"[45, 40, 39, 37, 37, 35.447, 32.517, 31.889, 30.525, 30.525]",425.309
187,"[46, 40, 39, 37, 37, 36.033, 32.517, 31.889, 30.525, 30.525]",425.32
188,"[47, 40, 39, 37, 37, 36.619, 32.517, 31.889, 30.525, 30.525]",425.32
189,"[48, 40, 39, 37, 37, 37.205, 32.517, 31.889, 30.525, 30.525]",425.31
190,"[49, 40, 39, 37, 37, 37.791, 32.517, 31.889, 30.525, 30.525]",425.291
191,"[41, 41, 39, 37, 37, 33.145, 33.145, 31.889, 30.525, 30.525]",425.205
192,"[42, 41, 39, 37, 37, 33.731, 33.145, 31.889, 30.525, 30.525]",425.267
193,"[43, 41, 39, 37, 37, 34.317, 33.145, 31.889, 30.525, 30.525]",425.315
194,"[44, 41, 39, 37, 37, 34.903, 33.145, 31.889, 30.525, 30.525]",425.35
195,"[45, 41, 39, 37, 37, 35.489, 33.145, 31.889, 30.525, 30.525]",425.372
196,"[46, 41, 39, 37, 37, 36.075, 33.145, 31.889, 30.525, 30.525]",425.382
197,"[47, 41, 39, 37, 37, 36.661, 33.145, 31.889, 30.525, 30.525]",425.382
198,"[48, 41, 39, 37, 37, 37.247, 33.145, 31.889, 30.525, 30.525]",425.372
199,"[49, 41, 39, 37, 37, 37.833, 33.145, 31.889, 30.525, 30.525]",425.354
200,"[42, 42, 39, 37, 37, 33.773, 33.773, 31.889, 30.525, 30.525]",425.313
201,"[43, 42, 39, 37, 37, 34.359, 33.773, 31.889, 30.525, 30.525]",425.361
202,"[44, 42, 39, 37, 37, 34.945, 33.773, 31.889, 30.525, 30.525]",425.396
203,"[45, 42, 39, 37, 37, 35.531, 33.773, 31.889, 30.525, 30.525]",425.418
204,"[46, 42, 39, 37, 37, 36.117, 33.773, 31.889, 30.525, 30.525]",425.428
205,"[47, 42, 39, 37, 37, 36.703, 33.773, 31.889, 30.525, 30.525]",425.428
206,"[48, 42, 39, 37, 37, 37.289, 33.773, 31.889, 30.525, 30.525]",425.418
207,"[49, 42, 39, 37, 37, 37.875, 33.773, 31.889, 30.525, 30.525]",425.4
208,"[43, 43, 39, 37, 37, 34.401, 34.401, 31.889, 30.525, 30.525]",425.392
209,"[44, 43, 39, 37, 37, 34.987, 34.401, 31.889, 30.525, 30.525]",425.427
210,"[45, 43, 39, 37, 37, 35.573, 34.401, 31.889, 30.525, 30.525]",425.449
