episode,uav_id,total_utility,uav_utility_list,select_agent
840,4,5.504,"[1.483,0.0,4.021]","[0,1,2]"
850,0,82.092,"[34.729,25.892,21.47]","[0,1,2]"
850,1,76.812,"[32.419,24.462,19.93]","[0,1,2]"
850,2,67.037,"[28.279,21.817,16.94]","[0,1,2]"
850,3,7.697,"[1.576,1.048,5.072]","[0,1,2]"
850,4,4.496,"[0.315,0.078,4.102]","[0,1,2]"
860,0,86.315,"[43.496,23.709,19.11]","[0,1,2]"
860,1,80.76,"[40.581,22.334,17.845]","[0,1,2]"
860,2,70.985,"[35.406,19.919,15.66]","[0,1,2]"
860,3,6.7,"[1.78,2.117,2.803]","[0,1,2]"
860,4,3.111,"[0.131,1.147,1.833]","[0,1,2]"
870,0,95.221,"[45.793,25.27,24.158]","[0,1,2]"
870,1,89.941,"[43.208,24.06,22.673]","[0,1,2]"
870,2,80.166,"[38.378,21.875,19.913]","[0,1,2]"
870,3,14.892,"[2.774,6.051,6.067]","[0,1,2]"
870,4,10.624,"[0.64,4.984,5.0]","[0,1,2]"
880,0,79.933,"[30.633,28.606,20.694]","[0,1,2]"
880,1,74.763,"[28.323,27.176,19.264]","[0,1,2]"
880,2,66.023,"[24.413,24.761,16.849]","[0,1,2]"
880,3,13.606,"[1.666,5.97,5.97]","[0,1,2]"
880,4,10.211,"[0.211,5.0,5.0]","[0,1,2]"
890,0,90.86,"[41.884,31.123,17.852]","[0,1,2]"
890,1,84.865,"[38.859,29.583,16.422]","[0,1,2]"
